player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
Will Jones,44505,DI,SMU,12,0,0,287,70.3,2,17,196,99.1,11.2,22,0,4.8,0,211,209,19,0,78.3,1,7,71,100,18.3,13,5.6,0,74,74,8,2021
Manny Walker,44532,ED,TEMPLE,12,4,0,306,70.6,5,18,236,99.2,12.3,29,2,5.7,2,251,249,25,0,59.1,0,4,30,100,13.3,4,6.7,0,32,32,4,2021
Antonneous Clayton,44543,ED,GA TECH,2,0,0,176,57.4,0,0,5,100,0,0,0,0,0,5,5,0,0,57.9,0,0,2,100,0,0,0,0,2,2,0,2021
Curtis Brooks,44559,DI,CINCINNATI,12,0,0,138,90.2,4,23,249,100,16.1,40,2,8.2,7,262,262,34,0,92.4,3,16,85,100,31.8,27,18.2,6,89,89,25,2021
Tre Williams,44563,ED,ARKANSAS,12,0,1,111,81.3,7,24,250,99.6,18.4,46,10,8.2,5,267,266,36,0,84.3,5,7,51,100,37.3,19,13.7,1,55,55,13,2021
Kameron Toomer,44569,ED,NEVADA,12,1,0,239,74.5,3,10,129,97.7,16.3,21,0,6.6,2,133,130,15,0,69.4,3,6,42,100,23.8,10,10.7,0,43,43,9,2021
Marcus Moore,44602,DI,UTAH ST,12,0,0,329,74,5,12,224,100,12.9,29,3,4.2,1,232,232,18,0,74.2,3,8,75,100,20,15,8.7,1,77,77,12,2021
McKinley Williams,44622,DI,SYRACUSE,11,0,0,304,61.9,2,5,225,99.6,5.3,12,1,2.4,2,236,235,9,0,57.3,1,1,65,98.6,4.6,3,3.1,1,71,70,3,2021
Toby McBride,44623,ED,COLO STATE,11,0,1,144,76,8,22,255,95.8,12.5,32,3,6.7,2,289,277,32,0,79.8,4,10,84,97.8,21.4,18,8.3,0,93,91,14,2021
Jeffery Pooler Jr.,44627,ED,NWESTERN,12,0,0,256,61.7,1,11,240,93.8,7.5,18,2,4.2,4,273,256,16,0,58.4,1,6,92,93.3,9.8,9,4.9,1,104,97,8,2021
Ja'Cquez Williams,45037,LB,LA MONROE,12,0,0,209,67.4,1,6,36,26.6,13.9,5,1,12.5,1,143,38,8,0,74.9,0,3,13,42.4,30.8,4,19.2,1,33,14,4,2021
Luke Masterson,45046,LB,WAKE,12,0,0,339,71.9,3,7,64,21.1,15.6,10,0,15.6,5,317,67,15,0,71.6,1,4,40,35.5,17.5,7,11.3,2,121,43,7,2021
Traveon Redd,45187,S,WAKE,12,0,1,339,71.2,3,4,43,13.6,14,6,1,15.1,3,323,44,10,0,71.5,2,2,30,25.4,16.7,5,16.7,3,122,31,7,2021
Tyrone Hill Jr.,45197,S,WASH STATE,9,0,0,341,52.4,0,2,7,5.4,14.3,1,0,14.3,0,129,7,2,0,46.4,0,1,4,6.9,0,0,12.5,0,58,4,1,2021
Kadofi Wright,45281,LB,BUFFALO,11,2,0,126,80.4,0,6,26,10.3,11.5,3,2,23.1,3,261,27,9,0,70.8,0,4,13,15.6,15.4,2,23.1,1,90,14,5,2021
Omari Alexander,45288,CB,W KENTUCKY,11,0,0,346,66,2,2,18,5.5,5.6,1,1,16.7,1,327,18,5,0,74.1,2,0,8,6.8,12.5,1,25,1,118,8,3,2021
Roderick Perry II,45336,DI,ILLINOIS,11,1,1,187,69.1,3,13,235,100,8.9,21,1,4.7,3,248,248,19,0,62.8,1,4,64,100,10.9,7,5.5,1,70,70,6,2021
DeQuarius Henry,45340,ED,UTSA,12,0,0,331,65.7,2,4,77,63.8,6.5,5,1,5.2,1,127,81,7,0,69.1,1,2,27,71.8,14.8,4,5.6,0,39,28,3,2021
Eyioma Uwazurike,45414,ED,IOWA STATE,12,1,0,193,73,4,26,302,100,11.9,36,2,7.6,8,316,316,38,1,70.6,1,2,53,100,13.2,7,10.4,4,56,56,7,2021
Christian Bell,45514,ED,S ALABAMA,12,0,1,288,65.9,3,6,120,70,6.7,8,3,6.3,3,190,133,12,0,63.8,1,2,27,64.8,7.4,2,13,2,54,35,5,2021
Danzel McKinley-Lewis,47648,WR,TOLEDO,1,0,0,316,60,0,0,1,100,0,0,1,0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0,2021
Tyrone Young-Smith,48098,S,UTAH,2,0,0,328,59.6,0,0,1,7.7,0,0,0,0,0,13,1,0,0,59.6,0,0,1,11.1,0,0,0,0,9,1,0,2021
Tyree Turner,48747,DI,UAB,12,0,0,321,81.1,3,6,209,100,8.6,18,3,3.6,3,227,227,12,0,85.4,2,4,59,100,15.3,9,8.5,2,67,67,8,2021
Miles Fox,48915,DI,WAKE,10,0,0,339,61,2,12,217,100,7.4,16,0,5.1,4,226,226,18,0,58.2,1,6,76,100,10.5,8,5.9,1,80,80,8,2021
Deontay Anderson,49179,LB,HOUSTON,12,0,0,182,69.9,3,8,41,13.9,7.3,3,1,20.7,3,309,43,14,0,58.5,1,2,10,10.3,0,0,25,1,97,10,4,2021
Julian Rochester,49668,DI,GEORGIA,3,0,0,173,60.8,0,1,18,100,5.6,1,0,2.8,0,18,18,1,0,56.4,0,0,6,100,0,0,0,0,6,6,0,2021
Kevin Henry,49713,LB,TULANE,12,0,0,319,66.4,0,7,66,30.2,13.6,9,0,8.3,2,225,68,9,0,60.5,0,2,27,32.5,14.8,4,7.4,1,83,27,3,2021
Robert Revels III,49871,LB,TULSA,7,0,0,320,58.1,1,2,20,28.4,0,0,1,12.5,1,74,21,4,0,54.5,0,0,6,77.8,0,0,0,0,9,7,0,2021
Kuony Deng,49921,ED,CAL,2,0,0,130,74.8,0,2,28,75,21.4,6,0,3.6,0,40,30,2,0,65.2,0,2,14,68.2,21.4,3,7.1,0,22,15,2,2021
Tyson Maeva,50660,LB,FRESNO ST,10,0,0,169,66.6,2,5,27,13.3,11.1,3,1,20.4,2,210,28,9,0,58.9,1,3,13,15.5,15.4,2,23.1,1,84,13,5,2021
Brayden Stringer,50924,LB,TEXAS ST,12,1,0,314,65.5,1,7,48,21.2,8.3,4,0,10.4,1,236,50,9,0,51.6,0,3,11,21.6,9.1,1,13.6,0,51,11,3,2021
DeAndre Pierce,51111,S,ARIZONA ST,12,0,0,110,66.9,0,2,6,1.4,0,0,1,33.3,1,430,6,3,0,59.7,0,0,1,0.5,0,0,0,0,199,1,0,2021
Marcelino McCrary-Ball,51112,CB,INDIANA,12,0,0,190,69.6,0,5,33,13.4,15.2,5,1,10.6,1,261,35,6,0,70.2,0,1,8,8.8,37.5,3,6.3,0,102,9,1,2021
Zach McCloud,51575,ED,MIAMI FL,12,0,0,220,71.9,7,22,256,95.6,11.3,29,1,8,6,275,263,35,0,75.3,2,11,74,93.9,23,17,15.5,5,82,77,18,2021
Alden Tofa,51983,ED,BYU,6,0,0,128,58.3,0,1,48,100,0,0,0,5.2,2,53,53,3,0,63.1,0,0,12,100,0,0,16.7,2,13,13,2,2021
Chaz Ah You,51989,S,BYU,8,0,0,128,68.2,0,3,17,8.2,11.8,2,0,14.7,1,231,19,4,0,56,0,2,4,7.1,0,0,25,0,56,4,2,2021
Earl Tuioti-Mariner,51992,ED,BYU,12,0,0,128,49.1,0,11,204,100,3.4,7,0,2.7,0,225,225,11,0,54.5,0,5,60,100,6.7,4,4.2,0,67,67,5,2021
Lorenzo Fauatea,52005,DI,BYU,5,0,0,128,53.1,2,3,68,100,1.5,1,0,3.7,0,72,72,5,0,53.4,1,1,14,100,0,0,7.1,0,14,14,2,2021
