player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
Troy Warner,25770,S,BYU,11,0,0,128,66.7,1,1,5,1.5,20,1,1,20,0,332,5,2,0,,0,0,0,0,,0,,0,101,0,0,2020
Luc Bequette,25776,DI,BOSTON COL,11,1,0,121,56.9,0,1,211,100,1.4,3,1,0.7,1,229,229,2,1,61.6,0,1,80,100,3.8,3,1.9,1,90,90,2,2020
Zeandae Johnson,25779,ED,CAL,4,0,0,130,57.7,0,3,113,99.1,1.8,2,0,2.2,1,117,116,4,0,55,0,1,44,97.8,0,0,3.4,1,46,45,2,2020
Mark Gilbert,26144,CB,DUKE,2,0,0,154,59.3,0,0,1,1.7,0,0,1,0,0,59,1,0,0,,0,0,0,0,,0,,0,31,0,0,2020
Clay Holford,26345,ED,E MICHIGAN,2,0,0,160,54.2,0,0,15,88.9,0,0,0,0,0,18,16,0,0,55.9,0,0,3,100,0,0,0,0,3,3,0,2020
Jeremiah Moon,26453,ED,FLORIDA,4,0,0,163,67.3,1,6,71,67,9.9,7,0,6.3,1,112,75,8,0,64.2,1,1,24,71.4,12.5,3,8.3,1,35,25,3,2020
David Curry,26573,LB,GA TECH,10,0,0,176,76.6,3,12,102,25.6,18.6,19,1,11.3,4,418,107,19,0,74.6,2,8,42,29.2,23.8,10,14.3,1,154,45,11,2020
Bracken El-Bakri,26924,DI,BYU,10,0,0,128,56.4,3,4,192,100,5.2,10,0,2.3,1,206,206,8,0,60.5,1,2,53,100,9.4,5,4.7,1,60,60,4,2020
Michael Dwumfour,27376,DI,RUTGERS,8,0,2,278,71.8,7,14,195,99.5,9.2,18,7,5.9,1,211,210,22,0,72.9,4,9,71,100,14.1,10,9.2,0,77,77,13,2020
Justus Reed,27708,ED,VA TECH,11,0,0,337,71.1,4,24,250,93.9,10.8,27,3,8.8,8,277,260,36,0,73.3,2,12,88,92.9,17,15,12.5,4,99,92,18,2020
Rodjay Burns,28078,LB,LOUISVILLE,11,0,0,210,66,0,5,67,21.8,7.5,5,0,8.2,3,317,69,8,0,65.5,0,3,24,26.1,16.7,4,6.3,0,92,24,3,2020
Justin Hilliard,28079,LB,OHIO STATE,3,1,0,260,70.6,0,1,7,14,14.3,1,1,7.1,0,50,7,1,0,59.5,0,0,1,7.1,0,0,0,0,14,1,0,2020
Richard Moore,28853,LB,SMU,1,0,0,287,58.5,0,0,2,28.6,0,0,0,0,0,7,2,0,0,,0,0,0,0,,0,,0,1,0,0,2020
Richard Burney,29120,DI,VIRGINIA,5,1,0,335,60.5,0,7,114,100,5.3,6,0,5.7,3,122,122,10,0,53.9,0,1,33,100,6.1,2,1.5,0,36,36,1,2020
Garrett Rand,29616,DI,WISCONSIN,5,0,1,349,53.7,0,2,130,100,3.1,4,2,0.8,0,143,143,2,0,51.8,0,1,52,100,1.9,1,1,0,57,57,1,2020
D'Angelo Amos,30344,S,VIRGINIA,10,0,0,335,56.9,0,0,4,1.2,0,0,1,0,0,321,4,0,0,58.6,0,0,1,1,0,0,0,0,101,1,0,2020
Adeeb Atariwa,30482,DI,VIRGINIA,10,0,0,335,57.1,1,6,164,100,4.3,7,1,2.7,1,170,170,8,0,61.3,1,3,24,100,8.3,2,8.3,0,24,24,4,2020
Marshaun Cameron,30624,CB,COLO STATE,4,0,0,144,91.2,0,0,3,2.2,0,0,1,33.3,1,136,3,1,0,92.9,0,0,1,2.2,0,0,100,1,45,1,1,2020
Jabril Cox,30669,LB,LSU,10,0,0,211,76.7,5,5,34,9.3,8.8,3,0,14.7,0,388,36,10,0,76.3,2,3,14,9,14.3,2,17.9,0,156,14,5,2020
Brock Nichols,33753,S,USF,8,0,0,327,56.7,0,1,4,6.2,0,0,0,12.5,0,65,4,1,0,59.2,0,0,1,5.9,0,0,0,0,17,1,0,2020
Meiko Dotson,33902,CB,FLORIDA ST,3,0,0,167,59.8,0,0,1,1.7,0,0,1,0,0,59,1,0,0,,0,0,0,0,,0,,0,22,0,0,2020
Denzel Feaster,34561,LB,KANSAS,5,0,0,198,51.9,1,1,13,13.6,0,0,2,7.7,0,103,14,2,0,53.6,0,1,5,20.7,0,0,10,0,29,6,1,2020
Ferrod Gardner,34595,LB,LA LAFAYET,9,0,0,207,74.5,3,7,38,15.2,15.8,6,0,23.7,4,264,40,14,0,75.9,1,5,24,29.8,25,6,29.2,4,84,25,10,2020
Christian Taylor,34919,LB,TEXAS ST,12,0,0,314,53.9,2,3,34,11,0,0,1,10.3,1,327,36,6,0,59.6,1,1,16,27.4,0,0,12.5,1,62,17,3,2020
John Petrishen,35069,LB,PITTSBURGH,4,0,0,268,64.1,0,1,4,14.8,25,1,0,12.5,0,27,4,1,0,61.9,0,1,1,14.3,100,1,50,0,7,1,1,2020
Justin Hughes,35200,LB,KANSAS ST,8,0,0,199,63.6,1,2,17,7.7,11.8,2,2,8.8,0,234,18,3,0,63.3,1,0,3,5.3,0,0,16.7,0,75,4,1,2020
Richard McBryde,35699,LB,SMU,10,2,0,287,68.4,1,4,32,15.5,0,0,0,17.2,3,238,37,8,0,58,0,2,13,23.7,0,0,15.4,1,59,14,3,2020
Kyle Pugh,35900,LB,N ILLINOIS,5,0,0,254,75,1,0,18,15.8,11.1,2,1,19.4,3,114,18,4,0,70.5,1,0,6,25,16.7,1,25,1,24,6,2,2020
Terrence Jones,36071,ED,LA LAFAYET,2,0,0,207,66.7,0,0,11,78.6,18.2,2,0,0,0,14,11,0,0,66,0,0,2,50,50,1,0,0,4,2,0,2020
Cristian Williams,36151,S,TULSA,6,0,0,320,58.7,0,0,4,1.9,0,0,2,0,0,212,4,0,0,59.9,0,0,1,4.5,0,0,0,0,22,1,0,2020
Stephen Forester,36173,LB,UTEP,8,0,0,330,69.9,1,3,16,6.8,18.8,3,0,18.8,1,236,16,5,0,70.2,0,2,11,24.4,18.2,2,18.2,1,45,11,3,2020
Scott Patchan,36449,ED,COLO STATE,4,0,0,144,76.7,7,13,131,97.2,16.8,22,1,11.5,5,142,138,25,0,83.7,3,7,41,100,31.7,13,19.5,3,46,46,13,2020
Eli Howard,36472,ED,TEXAS TECH,6,2,0,315,83,2,18,160,100,16.9,27,2,7.5,2,169,169,22,0,78.1,1,2,21,100,28.6,6,7.1,0,23,23,3,2020
Josiah Bronson,36668,DI,WASHINGTON,4,0,0,340,57.9,0,6,94,100,5.3,5,0,3.2,0,96,96,6,0,65.9,0,6,36,100,13.9,5,8.3,0,37,37,6,2020
Aaron Blackwell,36741,DI,ARIZONA,5,0,0,109,59,0,3,42,100,7.1,3,1,3.6,0,44,44,3,0,57.1,0,0,3,100,0,0,0,0,3,3,0,2020
Thad Mangum,36819,ED,USF,9,0,0,327,55.4,4,6,204,97.3,3.4,7,0,2.5,0,224,218,10,0,68.7,2,1,28,91.4,10.7,3,5.4,0,35,32,3,2020
Micah Dew-Treadway,37050,DI,MINNESOTA,6,0,0,225,57.5,0,3,117,100,1.7,2,1,2.1,1,128,128,4,0,55.6,0,0,31,100,0,0,3.2,1,34,34,1,2020
Tony Fair,37101,DI,UAB,8,0,0,321,70.3,0,2,95,99.1,4.2,4,1,2.1,1,106,105,3,0,76,0,1,32,100,3.1,1,4.7,1,36,36,2,2020
Nafees Lyon,37319,CB,CHARLOTTE,6,0,0,136,64.8,1,0,4,2.5,0,0,1,12.5,0,163,4,1,0,69.4,1,0,2,3.2,0,0,25,0,62,2,1,2020
Cameron Goode,38410,ED,CAL,4,0,0,130,71.1,2,9,102,86.1,14.7,15,0,8.3,3,122,105,14,0,73.8,1,6,41,87.5,26.8,11,13.4,2,48,42,9,2020
Vic Viramontes,38446,LB,UNLV,6,0,0,325,56.7,1,1,12,7.9,0,0,0,8.3,0,151,12,2,0,55.4,0,0,4,8.5,0,0,0,0,47,4,0,2020
Josh Drayden,38498,CB,CAL,4,0,0,130,53.4,0,0,3,2.9,0,0,2,0,0,103,3,0,0,,0,0,0,0,,0,,0,43,0,0,2020
Viane Moala,38501,DI,UTAH,4,0,1,328,65.3,0,11,119,99.2,9.2,11,3,4.6,0,124,123,11,0,64,0,9,62,100,11.3,7,7.3,0,65,65,9,2020
Jeremiah Pritchard,38502,LB,HAWAII,6,0,0,180,55.9,3,1,39,29.3,5.1,2,0,5.1,0,140,41,4,0,59.4,2,0,22,62.2,9.1,2,4.5,0,37,23,2,2020
Elijah Sullivan,39006,LB,KANSAS ST,8,0,0,199,60.9,1,1,14,7,0,0,0,7.1,0,228,16,2,0,55.5,0,0,2,4.1,0,0,0,0,73,3,0,2020
De'Vante Cross,39851,CB,VIRGINIA,10,0,1,335,58,2,0,23,6.6,0,0,3,8.7,1,363,24,3,0,72,1,0,8,8.3,0,0,18.8,1,108,9,2,2020
Jordan Carmouche,39951,LB,HOUSTON,6,0,0,182,58.5,0,1,12,14.3,8.3,1,0,4.2,0,84,12,1,0,63.9,0,1,4,16,25,1,12.5,0,25,4,1,2020
Derrion Rakestraw,39968,S,COLORADO,5,0,0,143,62.1,2,5,22,10.4,4.5,1,3,15.9,0,240,25,7,0,57.7,1,4,11,12,9.1,1,22.7,0,108,13,5,2020
Brandon Martin,40066,LB,BALL ST,6,1,0,117,68.3,1,4,20,9,10,2,0,17.5,1,234,21,6,0,61.1,0,2,9,14.1,11.1,1,22.2,1,71,10,3,2020
Chazz Surratt,40313,LB,N CAROLINA,11,0,0,245,77.5,11,15,92,23.3,16.3,15,1,20.7,6,425,99,32,0,78.4,3,8,40,27.5,22.5,9,26.3,5,160,44,16,2020
Phillip Howard,40350,CB,MINNESOTA,6,0,0,225,59.6,0,0,1,1.1,0,0,0,0,0,88,1,0,0,,0,0,0,0,,0,,0,25,0,0,2020
Zac Dawe,40457,ED,BYU,11,2,0,128,75.9,0,20,260,97.2,14.2,37,1,5,3,286,278,23,0,75.9,0,14,78,98.8,20.5,16,10.3,1,86,85,15,2020
Kumehnnu Gwilly,40495,ED,C MICHIGAN,6,0,0,134,57.8,0,2,40,100,5,2,0,2.5,0,41,41,2,0,61.3,0,1,20,100,10,2,2.5,0,21,21,1,2020
Chris Barrett,40524,TE,LIBERTY,1,0,0,206,60,0,0,1,100,0,0,2,0,0,1,1,0,0,60,0,0,1,100,0,0,0,0,1,1,0,2020
Jahaziel Lee,40537,DI,GA TECH,2,0,0,176,54.1,0,0,24,100,0,0,0,0,0,24,24,0,0,54.7,0,0,12,100,0,0,0,0,12,12,0,2020
Ja'cione Fugate,40621,S,CHARLOTTE,4,1,0,136,68.8,0,2,4,4.4,0,0,0,25,0,90,4,2,1,72.5,0,1,1,4.8,0,0,50,0,21,1,1,2020
Justin Rice,40640,LB,ARK STATE,11,1,0,113,67.3,6,9,75,21.1,6.7,5,1,18,6,374,79,21,0,69.4,2,5,23,49,13,3,28.3,3,51,25,10,2020
Aaron Hansford,40694,LB,TEXAS A&M,9,0,0,312,74.1,3,5,36,16.5,8.3,3,0,22.2,4,230,38,12,0,73.4,2,2,19,34.5,15.8,3,21.1,2,55,19,6,2020
Austin Conrad,40760,ED,OHIO,3,1,0,259,77.8,3,2,69,89.9,15.9,11,1,5.1,1,79,71,6,0,78.8,2,2,34,91.9,26.5,9,8.8,1,37,34,5,2020
Malik Staples,40902,LB,W KENTUCKY,2,0,0,346,59.3,0,1,1,11.1,0,0,0,50,0,9,1,1,0,,0,0,0,0,,0,,0,2,0,0,2020
Dwayne Johnson Jr.,41183,S,S DIEGO ST,7,0,1,284,81.4,0,3,9,3.4,44.4,4,2,27.8,1,263,9,4,0,82.7,0,3,5,5.8,80,4,30,0,86,5,3,2020
Jaquel Pierce,41589,ED,TEXAS ST,10,0,0,314,50.7,2,7,156,99.4,1.9,3,0,2.9,0,163,162,9,0,53.5,0,1,28,100,3.6,1,1.8,0,28,28,1,2020
Kameron Miller,41650,LB,NEW MEXICO,7,0,0,241,64.3,7,4,117,49.4,6.8,8,4,6.4,2,255,126,13,0,64.4,3,3,49,55.9,8.2,4,8.2,1,93,52,7,2020
Ty Shelby,41752,ED,LA MONROE,8,0,0,209,62.6,5,9,182,96.1,7.7,14,0,4.9,2,203,195,16,0,68.9,4,7,69,96.2,14.5,10,10.9,2,79,76,13,2020
Roy Baker,41757,CB,BUFFALO,5,0,2,126,70.9,0,1,1,0.8,100,1,4,50,0,131,1,1,0,,0,0,0,0,,0,,0,40,0,0,2020
Calvin Bundage,41772,ED,OKLA STATE,10,0,1,262,76,6,11,126,93.1,19,24,4,12.3,7,145,135,24,0,67.2,4,7,71,97.4,18.3,13,12,3,78,76,14,2020
Sam Hammond,41836,ED,NEVADA,8,1,0,239,76.2,9,28,302,96.9,13.6,41,1,8.1,6,324,314,43,0,77.7,2,14,97,98,20.6,20,10.3,2,102,100,18,2020
Mason Husmann,41956,DI,LA MONROE,8,0,0,209,58.6,0,2,112,100,2.7,3,0,1.8,1,121,121,3,0,59.2,0,0,38,100,2.6,1,2.6,1,44,44,1,2020
Ben Davis,41960,ED,ALABAMA,5,0,0,103,57.2,0,0,21,87.5,4.8,1,0,0,0,24,21,0,0,60,0,0,9,100,11.1,1,0,0,9,9,0,2020
Dylan Tonkery,41961,ED,W VIRGINIA,8,0,0,343,55.4,0,4,84,72,4.8,4,0,4.8,2,125,90,6,0,57.6,0,2,29,96.9,3.4,1,10.3,2,32,31,4,2020
Kenny Turnier,42019,DI,UCF,5,0,0,323,69.2,2,5,112,99.2,8,9,2,4.9,2,124,123,9,0,72.9,1,4,59,100,13.6,8,7.6,2,63,63,7,2020
Dru Mathis,42027,LB,OREGON,4,0,0,264,57.8,0,1,15,45.5,6.7,1,0,3.3,0,33,15,1,0,60.2,0,1,8,47.1,12.5,1,6.3,0,17,8,1,2020
Avien Peah,42158,ED,UMASS,4,0,0,216,57.3,0,3,56,100,3.6,2,1,4.5,1,58,58,4,0,61.8,0,3,19,100,10.5,2,13.2,1,21,21,4,2020
Dre Bryant,42181,ED,VIRGINIA,1,0,0,335,60.4,0,1,11,100,9.1,1,0,4.5,0,12,12,1,0,63,0,1,6,100,16.7,1,8.3,0,7,7,1,2020
Divine Deablo,42208,S,VA TECH,9,0,0,337,60.8,0,0,12,3.4,16.7,2,1,0,0,382,13,0,0,66.9,0,0,5,3.2,40,2,0,0,154,5,0,2020
Nick Grant,42242,CB,VIRGINIA,10,0,1,335,60,0,1,1,0.3,0,0,2,50,0,347,1,1,0,,0,0,0,0,,0,,0,111,0,0,2020
Rick Wells,42268,WR,FLORIDA,1,0,0,163,60,0,0,1,100,0,0,0,0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0,2020
Alonzo McCoy,42383,CB,C MICHIGAN,6,0,0,134,68.1,0,0,5,3.6,20,1,1,0,0,140,5,0,0,60,0,0,1,2,0,0,0,0,49,1,0,2020
Keyshon Camp,42384,DI,PITTSBURGH,6,0,1,268,73.3,2,6,76,100,13.2,10,1,5.3,0,82,82,8,0,73.4,0,4,20,100,25,5,10,0,20,20,4,2020
Rob Snyder,42389,LB,VIRGINIA,5,0,0,335,58.7,0,2,8,25,0,0,0,12.5,0,36,9,2,0,66.1,0,1,2,22.2,0,0,25,0,9,2,1,2020
Chris Moore,42400,S,GA STATE,9,0,0,175,58.9,0,0,2,0.9,0,0,0,0,0,230,2,0,0,,0,0,0,0,,0,,0,65,0,0,2020
Brenton Nelson,42426,CB,VIRGINIA,4,0,0,335,67.3,0,0,1,0.8,100,1,1,0,0,124,1,0,0,67.3,0,0,1,2.3,100,1,0,0,44,1,0,2020
Raleigh Texada,42440,CB,BAYLOR,9,0,1,118,88.5,0,0,5,1.7,0,0,4,20,1,290,5,1,0,91.9,0,0,2,2.3,0,0,50,1,86,2,1,2020
Greg Eisworth II,42444,S,IOWA STATE,10,0,0,193,54,0,2,4,1.1,0,0,1,25,0,351,4,2,0,55.5,0,2,2,5.6,0,0,50,0,36,2,2,2020
JoJo Domann,42446,LB,NEBRASKA,8,0,0,238,61.1,2,1,38,13.4,5.3,2,0,3.9,0,292,39,3,0,52.5,1,1,8,8.6,0,0,12.5,0,93,8,2,2020
Janarius Robinson,42447,ED,FLORIDA ST,9,1,0,167,72.7,6,16,220,91.6,10.9,24,3,6.4,3,261,239,25,0,78.7,5,11,85,91,21.2,18,11.8,2,100,91,18,2020
Amen Ogbongbemiga,42449,LB,OKLA STATE,10,0,0,262,64.1,3,5,49,16.4,4.1,2,0,16.3,4,329,54,12,0,56.9,2,1,19,16.5,0,0,13.2,1,121,20,4,2020
Tomon Fox,42486,ED,N CAROLINA,11,0,0,245,72.8,2,23,281,78.1,12.5,35,2,7.3,8,375,293,33,0,76,2,19,113,78,20.4,23,13.7,5,150,117,26,2020
Tahj Herring-Wilson,42490,CB,ARK STATE,5,0,0,113,58.3,0,0,1,2,0,0,2,0,0,49,1,0,0,,0,0,0,0,,0,,0,4,0,0,2020
Devin Harper,42494,LB,OKLA STATE,10,0,0,262,67.3,3,0,20,17.6,0,0,1,17.5,2,125,22,5,0,70.9,0,0,4,15.2,0,0,25,1,33,5,1,2020
Rashad Weaver,42495,ED,PITTSBURGH,9,2,1,268,90,6,32,284,99.7,17.6,50,3,10.2,10,307,306,48,0,91.4,5,16,109,100,25.7,28,17.9,9,117,117,30,2020
Shemar Jean-Charles,42496,CB,APP STATE,11,0,0,108,60,0,0,1,0.3,0,0,4,0,0,351,1,0,0,,0,0,0,0,,0,,0,85,0,0,2020
Trae Meadows,42502,CB,W KENTUCKY,11,0,0,346,63.8,0,0,5,2.2,0,0,0,20,1,224,5,1,0,56.2,0,0,2,2.2,0,0,0,0,92,2,0,2020
Keir Thomas,42509,DI,S CAROLINA,7,0,0,289,70.8,3,6,149,100,8.7,13,4,3.7,1,161,161,10,0,75.6,1,4,41,100,14.6,6,6.1,0,46,46,5,2020
Tyrez Lindsey,42510,S,MEMPHIS,9,0,1,218,68.4,0,0,7,2,14.3,1,3,0,0,357,7,0,0,63.9,0,0,0,0,,1,,0,104,0,0,2020
Bricen Garner,42520,S,W MICHIGAN,6,0,0,347,69.5,1,1,3,1.4,0,0,0,33.3,0,214,3,2,0,69.5,1,1,3,4.6,0,0,33.3,0,65,3,2,2020
James Skalski,42552,LB,CLEMSON,7,0,0,140,57.8,0,2,32,23.2,9.4,3,0,6.3,1,142,33,3,0,57.7,0,2,18,31.7,11.1,2,11.1,1,60,19,3,2020
Nazeeh Johnson,42553,S,MARSHALL,6,0,0,214,56.6,0,0,4,2.7,0,0,0,0,0,184,5,0,0,59.5,0,0,0,3.2,,0,,0,31,1,0,2020
Jordan Fox,42554,ED,STANFORD,4,0,0,300,63.3,2,1,62,63.1,8.1,5,1,4,1,103,65,4,0,59,1,1,16,75,12.5,2,6.3,0,24,18,2,2020
Max Richardson,42572,LB,BOSTON COL,11,0,1,121,68.1,1,13,79,20.9,15.2,12,2,13.9,4,444,93,18,0,69.5,0,10,45,26.8,17.8,8,17.8,3,190,51,13,2020
Ja'Quain Blakely,42579,DI,TENNESSEE,10,1,0,307,61.6,2,4,87,100,5.7,5,0,5.7,2,92,92,8,1,67.2,2,4,54,100,9.3,5,9.3,2,56,56,8,2020
Aaron Ramseur,42585,LB,E CAROLINA,8,0,0,156,69.5,3,5,40,37.4,7.5,3,0,15,2,107,40,10,0,75.7,0,4,12,42.9,16.7,2,33.3,2,28,12,6,2020
Leevel Tatum III,42587,DI,FRESNO ST,5,0,0,169,67.4,0,3,49,100,10.2,5,0,5.1,1,49,49,4,0,62.6,0,1,15,100,13.3,2,3.3,0,15,15,1,2020
Malik Barrow,42596,DI,RUTGERS,3,0,0,278,71.4,1,3,30,100,23.3,7,0,6.7,0,33,33,4,0,63.2,0,1,15,100,20,3,3.3,0,16,16,1,2020
Andrzej Hughes-Murray,42597,ED,OREGON ST,7,1,0,265,64.1,2,6,116,83.4,9.5,11,0,4.3,1,151,126,9,0,66.5,2,4,47,82.3,17,8,6.4,0,62,51,6,2020
Tanner Wiggins,42602,ED,LA LAFAYET,3,0,0,207,57.8,0,0,4,100,0,0,0,0,0,4,4,0,0,59.5,0,0,1,100,0,0,0,0,1,1,0,2020
Tayler Hawkins,42606,CB,S DIEGO ST,8,0,1,284,63.6,0,2,4,1.4,50,2,4,25,0,280,4,2,0,63.7,0,1,1,1.1,100,1,50,0,90,1,1,2020
Lawrence White,42607,S,IOWA STATE,10,0,0,193,60.6,0,2,6,1.8,16.7,1,1,16.7,0,331,6,2,0,65.5,0,1,3,9.1,33.3,1,16.7,0,33,3,1,2020
Caesar Williams,42613,CB,WISCONSIN,6,0,0,349,60,0,0,1,0.5,0,0,3,0,0,183,1,0,0,,0,0,0,0,,0,,0,77,0,0,2020
Leighton McCarthy,42626,ED,FAU,8,0,0,165,72.3,4,11,152,60.8,11.2,17,0,10.9,9,263,160,24,0,79.5,2,6,56,83.3,17.9,10,19.6,7,72,60,15,2020
Tyler Coyle,42631,S,PURDUE,4,1,0,273,65.9,0,2,9,16.7,11.1,1,0,11.1,0,54,9,2,0,66.9,0,0,4,30.8,25,1,0,0,13,4,0,2020
Brandon Bouyer-Randle,42637,LB,TEXAS TECH,9,2,1,315,58.2,2,4,88,42.1,5.7,5,1,4.5,1,221,93,7,0,62.6,2,3,31,80.5,12.9,4,11.3,1,41,33,6,2020
Broderick Harrell,42650,S,UTEP,7,0,0,330,57.8,0,1,5,2.6,0,0,1,10,0,192,5,1,0,59.2,0,0,1,2.3,0,0,0,0,44,1,0,2020
Lawson Hall,42652,LB,NEVADA,8,0,0,239,57.3,1,2,39,17.6,5.1,2,0,9,2,227,40,5,0,62,0,2,11,18.3,0,0,18.2,1,60,11,3,2020
Tony Butler,42660,CB,KENT STATE,4,0,0,201,58.3,0,0,3,4.1,0,0,2,0,0,74,3,0,0,,0,0,0,0,,0,,0,33,0,0,2020
Tavante Beckett,42663,LB,MARSHALL,8,0,0,214,77.7,5,2,31,12.7,9.7,3,1,27.4,5,268,34,12,0,81.8,1,0,10,23.2,30,3,35,3,56,13,4,2020
Mike Hampton,42669,CB,USF,9,0,1,327,60,0,0,1,0.4,0,0,2,0,0,228,1,0,0,,0,0,0,0,,0,,0,48,0,0,2020
Eric Kendzior,42672,ED,LA TECH,9,0,1,208,55.2,2,5,149,75,6.7,10,3,3,1,212,159,8,0,58.2,1,2,56,96.8,10.7,6,4.5,1,63,61,4,2020
Mike Palmer,42674,S,BOSTON COL,7,0,0,121,58.8,1,3,6,3.2,0,0,0,33.3,0,216,7,4,0,46.3,0,2,3,3.1,0,0,33.3,0,98,3,2,2020
Jalen Walker,42675,CB,BOISE ST,6,0,0,120,60.6,0,2,4,2.3,0,0,1,25,0,175,4,2,0,65,0,1,1,1.7,0,0,50,0,58,1,1,2020
Malik Antoine,42676,S,STANFORD,6,0,0,300,63.6,0,2,6,3.7,0,0,0,33.3,1,189,7,3,0,70.2,0,0,1,1.8,0,0,100,1,57,1,1,2020
Isaiah Graham-Mobley,42679,LB,TEMPLE,2,0,0,306,66.6,1,0,3,14.3,0,0,1,50,1,28,4,2,0,67.8,0,0,2,60,0,0,50,1,5,3,1,2020
Jordan Woods,42686,DI,FIU,3,0,0,166,55.6,0,0,22,100,0,0,0,0,0,23,23,0,0,56.5,0,0,6,100,0,0,0,0,7,7,0,2020
Tyreek Maddox-Williams,42694,LB,RUTGERS,9,2,0,278,59.7,0,2,41,24.4,2.4,1,0,2.4,0,172,42,2,0,54.2,0,0,13,20.6,0,0,0,0,68,14,0,2020
Demetrius Cain,42697,LB,W KENTUCKY,10,0,0,346,58.4,1,4,18,35.1,5.6,1,0,13.9,0,57,20,5,0,61.7,1,0,5,26.3,0,0,10,0,19,5,1,2020
Jeremy Darvin,42713,DI,W KENTUCKY,11,1,0,346,62.2,2,4,213,100,4.7,10,2,2.3,2,229,229,8,1,62.8,1,3,80,100,6.3,5,5,2,86,86,6,2020
Ryan Bowman,42714,ED,WASHINGTON,2,0,0,340,68.7,2,1,43,97.8,14,6,0,5.8,1,46,45,4,0,72,0,1,14,93.8,21.4,3,10.7,1,16,15,2,2020
Chauncey Golston,42718,ED,IOWA,8,0,0,192,75.5,6,22,244,96.5,12.7,31,0,8.2,6,259,250,34,0,79,3,10,99,96.2,17.2,17,11.6,5,104,100,18,2020
Collin Miller,42725,LB,NEBRASKA,4,0,0,238,50.3,0,4,16,13.6,0,0,0,12.5,0,118,16,4,0,51.1,0,1,11,23.4,0,0,4.5,0,47,11,1,2020
Zach Hannibal,42732,CB,LA TECH,8,0,2,208,53.7,0,0,2,0.9,0,0,3,0,0,233,2,0,0,55.4,0,0,1,1.4,0,0,0,0,74,1,0,2020
Spencer Eason-Riddle,42747,LB,S CAROLINA,3,0,0,289,59.3,1,0,2,28.6,0,0,0,25,0,7,2,1,0,59.2,0,0,1,100,0,0,0,0,1,1,0,2020
