player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,YEAR
JR Pace,10116,S,NWESTERN,7,0,1,256,61.5,0,1,6,2.2,16.7,1,2,8.3,0,277,6,1,0,63.2,0,1,1,1.4,100,1,50,0,71,1,1,2020
Jaylan Foster,13095,S,S CAROLINA,7,0,0,289,68.1,0,1,3,1.9,33.3,1,1,16.7,0,155,3,1,0,,0,0,0,0,,0,,0,40,0,0,2020
Joshua McMillon,13920,LB,ALABAMA,6,0,0,103,54.4,0,0,4,13.3,0,0,0,0,0,30,4,0,0,55.7,0,0,3,30,0,0,0,0,10,3,0,2020
Devin Taylor,22317,S,VA TECH,10,0,0,337,52,0,0,11,3,0,0,0,0,0,363,11,0,0,55.9,0,0,4,2.8,0,0,0,0,145,4,0,2020
Cortez Davis,22974,CB,HAWAII,7,0,0,180,87.5,0,4,17,9.4,17.6,3,2,17.6,1,192,18,5,0,88.7,0,1,7,13.2,0,0,21.4,1,53,7,2,2020
Dru Prox,23093,LB,KANSAS,3,0,0,198,79.6,3,3,24,30.4,25,6,0,16.7,1,79,24,7,0,76.3,1,1,7,33.3,42.9,3,28.6,1,21,7,3,2020
Mikel Horton,23509,DI,CHARLOTTE,4,0,0,136,67.7,0,4,65,100,9.2,6,2,3.1,0,71,71,4,0,64.8,0,2,18,100,11.1,2,5.6,0,21,21,2,2020
Kingsley Onyirioha,23639,DI,TEXAS ST,5,0,0,314,58.7,0,4,74,100,6.8,5,0,2.7,0,75,75,4,0,61.3,0,1,18,100,11.1,2,2.8,0,18,18,1,2020
Darren Evans,24171,CB,LSU,4,0,0,211,60,0,0,1,2.1,0,0,0,0,0,47,1,0,0,,0,0,0,0,,0,,0,24,0,0,2020
Alvinoski LaFleur,24504,CB,E MICHIGAN,6,1,0,160,51.5,0,1,32,15.2,0,0,0,1.6,0,211,32,1,0,54,0,0,4,7.7,0,0,0,0,52,4,0,2020
